VERSION, FILE_NAME, LOC, LOC_TOUCHED, NUMBER_OF_REVISIONS, LOC_ADDED, AVG_LOC_ADDED, NUMBER_OF_AUTHORS, MAX_LOC_ADDED, TOTAL_LOC_REMOVED, MAX_LOC_REMOVED, AVG_LOC_TOUCHED, BUGGY
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,44808,1035,3,886,295.3333333333333,2,736,149,144,345,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,4277,78,2,76,38.0,2,74,2,2,39,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,4859,100,3,97,32.333333333333336,2,93,3,2,33,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,364,22,1,22,22.0,1,22,0,0,22,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,26608,451,3,439,146.33333333333334,2,426,12,10,150,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,2912,62,1,62,62.0,1,62,0,0,62,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,2548,60,2,59,29.5,2,58,1,1,30,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,1092,101,2,96,48.0,2,91,5,5,50,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,364,29,2,28,14.0,2,27,1,1,14,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,3367,81,2,79,39.5,2,77,2,2,40,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,30612,780,3,742,247.33333333333334,2,703,38,36,260,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,910,71,2,67,33.5,2,63,4,4,35,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,1365,37,1,37,37.0,1,37,0,0,37,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,2457,66,2,65,32.5,2,64,1,1,33,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,7189,130,2,127,63.5,2,124,3,3,65,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,10319,174,4,167,41.75,2,159,7,3,43,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,1183,46,2,41,20.5,2,36,5,5,23,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,2766,62,2,60,30.0,2,57,2,2,31,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,3185,62,1,62,62.0,1,62,0,0,62,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,6679,154,4,142,35.5,2,129,12,8,38,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,3767,78,2,76,38.0,2,73,2,2,39,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,4950,89,3,86,28.666666666666668,2,82,3,2,29,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,3731,74,1,74,74.0,1,74,0,0,74,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,1274,52,2,50,25.0,2,48,2,2,26,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,2275,62,2,61,30.5,2,60,1,1,31,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,3367,82,3,76,25.333333333333332,2,70,6,4,27,NO
