"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"SYNCOPE","IBk","9","NO","NO","NO","0,34615","0,10976","0,66959","0,11943","0,29268","9.0","17.0","637.0","73.0","90,40542"
"SYNCOPE","RandomForest","9","BEST FIRST","NO","NO","0,41176","0,08537","0,62006","0,10725","0,29268","7.0","10.0","644.0","75.0","90,40542"
"SYNCOPE","NaiveBayes","9","BEST FIRST","NO","NO","0,57692","0,18293","0,70583","0,23684","0,18293","15.0","11.0","643.0","67.0","90,40542"
"SYNCOPE","IBk","9","BEST FIRST","NO","NO","0,41667","0,12195","0,67313","0,14557","0,30488","10.0","14.0","640.0","72.0","90,40542"
"SYNCOPE","RandomForest","9","BEST FIRST","UNDERSAMPLING","NO","0,2449","0,58537","0,71659","0,2233","0,35366","48.0","148.0","506.0","34.0","90,40542"
"SYNCOPE","NaiveBayes","9","BEST FIRST","UNDERSAMPLING","NO","0,46154","0,29268","0,67872","0,29746","0,24691","24.0","28.0","626.0","58.0","90,40542"
"SYNCOPE","IBk","9","BEST FIRST","UNDERSAMPLING","NO","0,22018","0,58537","0,69616","0,18862","0,34146","48.0","170.0","484.0","34.0","90,40542"
"SYNCOPE","RandomForest","9","BEST FIRST","OVERSAMPLING","NO","0,19697","0,31707","0,61126","0,12236","0,37037","26.0","106.0","548.0","56.0","90,40542"
"SYNCOPE","NaiveBayes","9","BEST FIRST","OVERSAMPLING","NO","0,4386","0,30488","0,70325","0,29532","0,17284","25.0","32.0","622.0","57.0","90,40542"
"SYNCOPE","IBk","9","BEST FIRST","OVERSAMPLING","NO","0,20149","0,32927","0,67207","0,12969","0,34568","27.0","107.0","547.0","55.0","90,40542"
"SYNCOPE","RandomForest","9","BEST FIRST","NO","SENSITIVE_LEARNING","0,20833","0,2439","0,62504","0,11882","0,35366","20.0","76.0","578.0","62.0","90,40542"
"SYNCOPE","NaiveBayes","9","BEST FIRST","NO","SENSITIVE_LEARNING","0,46","0,28049","0,70583","0,28843","0,19753","23.0","27.0","627.0","59.0","90,40542"
"SYNCOPE","IBk","9","BEST FIRST","NO","SENSITIVE_LEARNING","0,21649","0,2561","0,67295","0,12953","0,34146","21.0","76.0","578.0","61.0","90,40542"
"SYNCOPE","RandomForest","10","NO","NO","NO","0,77778","0,17722","0,81463","0,25915","0,44304","14.0","4.0","653.0","65.0","91,24539"
"SYNCOPE","NaiveBayes","10","NO","NO","NO","0,54545","0,1519","0,7067","0,20023","0,17722","12.0","10.0","647.0","67.0","91,24539"
"SYNCOPE","IBk","10","NO","NO","NO","0,58621","0,21519","0,83265","0,2729","0,40506","17.0","12.0","645.0","62.0","91,24539"
"SYNCOPE","RandomForest","10","BEST FIRST","NO","NO","0,66667","0,20253","0,8068","0,27438","0,40506","16.0","8.0","649.0","63.0","91,24539"
"SYNCOPE","NaiveBayes","10","BEST FIRST","NO","NO","0,5","0,21519","0,70672","0,25261","0,21519","17.0","17.0","640.0","62.0","91,24539"
"SYNCOPE","IBk","10","BEST FIRST","NO","NO","0,54545","0,22785","0,83319","0,27561","0,39241","18.0","15.0","642.0","61.0","91,24539"
"SYNCOPE","RandomForest","10","BEST FIRST","UNDERSAMPLING","NO","0,23346","0,75949","0,80754","0,23085","0,36709","60.0","197.0","460.0","19.0","91,24539"
"SYNCOPE","NaiveBayes","10","BEST FIRST","UNDERSAMPLING","NO","0,43077","0,35443","0,70409","0,32332","0,24359","28.0","37.0","620.0","51.0","91,24539"
"SYNCOPE","IBk","10","BEST FIRST","UNDERSAMPLING","NO","0,21555","0,77215","0,77071","0,20331","0,32051","61.0","222.0","435.0","18.0","91,24539"
"SYNCOPE","RandomForest","10","BEST FIRST","OVERSAMPLING","NO","0,30588","0,65823","0,81168","0,31766","0,4557","52.0","118.0","539.0","27.0","91,24539"
"SYNCOPE","NaiveBayes","10","BEST FIRST","OVERSAMPLING","NO","0,32381","0,43038","0,70808","0,28155","0,24359","34.0","71.0","586.0","45.0","91,24539"
"SYNCOPE","IBk","10","BEST FIRST","OVERSAMPLING","NO","0,29379","0,65823","0,8255","0,30276","0,4557","52.0","125.0","532.0","27.0","91,24539"
"SYNCOPE","RandomForest","10","BEST FIRST","NO","SENSITIVE_LEARNING","0,32468","0,63291","0,81757","0,3348","0,41772","50.0","104.0","553.0","29.0","91,24539"
"SYNCOPE","NaiveBayes","10","BEST FIRST","NO","SENSITIVE_LEARNING","0,375","0,41772","0,70672","0,31807","0,24359","33.0","55.0","602.0","46.0","91,24539"
"SYNCOPE","IBk","10","BEST FIRST","NO","SENSITIVE_LEARNING","0,33333","0,63291","0,83283","0,34451","0,44304","50.0","100.0","557.0","29.0","91,24539"
"SYNCOPE","RandomForest","11","NO","NO","NO","0,56","0,2029","0,82072","0,26123","0,47826","14.0","11.0","660.0","55.0","91,90992"
"SYNCOPE","NaiveBayes","11","NO","NO","NO","0,45833","0,15942","0,63806","0,19796","0,15942","11.0","13.0","658.0","58.0","91,90992"
"SYNCOPE","IBk","11","NO","NO","NO","0,41667","0,28986","0,83853","0,28736","0,49275","20.0","28.0","643.0","49.0","91,90992"
"SYNCOPE","RandomForest","11","BEST FIRST","NO","NO","0,73913","0,24638","0,85765","0,33874","0,56522","17.0","6.0","665.0","52.0","91,90992"
"SYNCOPE","NaiveBayes","11","BEST FIRST","NO","NO","0,4375","0,2029","0,65105","0,23184","0,2029","14.0","18.0","653.0","55.0","91,90992"
"SYNCOPE","IBk","11","BEST FIRST","NO","NO","0,73913","0,24638","0,8609","0,33874","0,56522","17.0","6.0","665.0","52.0","91,90992"
"SYNCOPE","RandomForest","11","BEST FIRST","UNDERSAMPLING","NO","0,19557","0,76812","0,80961","0,1916","0,4058","53.0","218.0","453.0","16.0","91,90992"
"SYNCOPE","NaiveBayes","11","BEST FIRST","UNDERSAMPLING","NO","0,28169","0,28986","0,67416","0,2111","0,29412","20.0","51.0","620.0","49.0","91,90992"
"SYNCOPE","IBk","11","BEST FIRST","UNDERSAMPLING","NO","0,19217","0,78261","0,81574","0,18682","0,4058","54.0","227.0","444.0","15.0","91,90992"
"SYNCOPE","RandomForest","11","BEST FIRST","OVERSAMPLING","NO","0,24775","0,7971","0,85299","0,27484","0,46377","55.0","167.0","504.0","14.0","91,90992"
"SYNCOPE","NaiveBayes","11","BEST FIRST","OVERSAMPLING","NO","0,27273","0,30435","0,65625","0,20997","0,29412","21.0","56.0","615.0","48.0","91,90992"
"SYNCOPE","IBk","11","BEST FIRST","OVERSAMPLING","NO","0,25229","0,7971","0,85667","0,2815","0,46377","55.0","163.0","508.0","14.0","91,90992"
"SYNCOPE","RandomForest","11","BEST FIRST","NO","SENSITIVE_LEARNING","0,24887","0,7971","0,85879","0,27649","0,47826","55.0","166.0","505.0","14.0","91,90992"
"SYNCOPE","NaiveBayes","11","BEST FIRST","NO","SENSITIVE_LEARNING","0,27778","0,28986","0,65105","0,2083","0,29412","20.0","52.0","619.0","49.0","91,90992"
