@RELATION file_train_step_4

@ATTRIBUTE LOC REAL
@ATTRIBUTE LOC_TOUCHED REAL
@ATTRIBUTE NUMBER_OF_REVISIONS REAL
@ATTRIBUTE LOC_ADDED REAL
@ATTRIBUTE AVG_LOC_ADDED REAL
@ATTRIBUTE NUMBER_OF_AUTHORS REAL
@ATTRIBUTE MAX_LOC_ADDED REAL
@ATTRIBUTE TOTAL_LOC_REMOVED REAL
@ATTRIBUTE MAX_LOC_REMOVED REAL
@ATTRIBUTE AVG_LOC_TOUCHED REAL
@ATTRIBUTE BUGGY {NO, YES}

@DATA
59,0,0,0,0.0,0,0,0,0,0,NO
363,19,4,9,2.25,1,5,10,6,4,YES
391,226,10,156,15.6,3,46,70,36,22,YES
106,0,0,0,0.0,0,0,0,0,0,YES
104,0,0,0,0.0,0,0,0,0,0,NO
84,0,0,0,0.0,0,0,0,0,0,NO
39,4,1,2,2.0,1,2,2,2,4,NO
396,398,2,397,198.5,1,396,1,1,199,NO
18,18,1,18,18.0,1,18,0,0,18,NO
170,58,3,39,13.0,2,29,19,12,19,YES
22,0,0,0,0.0,0,0,0,0,0,NO
10,0,0,0,0.0,0,0,0,0,0,YES
41,0,0,0,0.0,0,0,0,0,0,YES
15,0,0,0,0.0,0,0,0,0,0,NO
25,0,0,0,0.0,0,0,0,0,0,YES
37,0,0,0,0.0,0,0,0,0,0,YES
260,464,9,432,48.0,3,260,32,15,51,YES
202,227,3,215,71.66666666666667,2,202,12,11,75,NO
200,222,2,220,110.0,1,200,2,2,111,YES
57,122,8,100,12.5,3,51,22,13,15,NO
81,145,3,145,48.333333333333336,2,81,0,0,48,YES
79,214,5,201,40.2,3,117,13,9,42,YES
53,53,1,53,53.0,1,53,0,0,53,YES
34,0,0,0,0.0,0,0,0,0,0,NO
368,141,6,111,18.5,2,103,30,16,23,YES
88,88,1,88,88.0,1,88,0,0,88,YES
10,10,1,10,10.0,1,10,0,0,10,NO
219,33,4,25,6.25,3,17,8,2,8,YES
63,73,3,68,22.666666666666668,2,63,5,4,24,NO
121,121,1,121,121.0,1,121,0,0,121,YES
17,0,0,0,0.0,0,0,0,0,0,NO
17,0,0,0,0.0,0,0,0,0,0,NO
17,0,0,0,0.0,0,0,0,0,0,NO
16,0,0,0,0.0,0,0,0,0,0,NO
17,3,1,0,0.0,1,0,3,3,3,NO
93,8,1,3,3.0,1,3,5,5,8,NO
41,41,1,41,41.0,1,41,0,0,41,NO
188,8,1,4,4.0,1,4,4,4,8,YES
75,2,1,1,1.0,1,1,1,1,2,NO
173,0,0,0,0.0,0,0,0,0,0,NO
180,336,7,88,12.571428571428571,2,27,248,174,48,NO
191,204,3,198,66.0,2,191,6,5,68,YES
201,29,2,15,7.5,1,13,14,13,14,NO
203,63,2,46,23.0,2,46,17,17,31,YES
136,47,3,34,11.333333333333334,2,23,13,7,15,NO
752,94,2,90,45.0,1,85,4,4,47,YES
60,10,2,5,2.5,2,3,5,4,5,YES
32,12,1,12,12.0,1,12,0,0,12,NO
151,11,2,4,2.0,2,3,7,7,5,NO
62,0,0,0,0.0,0,0,0,0,0,NO
23,11,1,11,11.0,1,11,0,0,11,NO
95,101,2,98,49.0,1,95,3,3,50,YES
43,43,1,43,43.0,1,43,0,0,43,YES
72,6,1,3,3.0,1,3,3,3,6,NO
59,24,2,22,11.0,1,21,2,2,12,YES
77,0,0,0,0.0,0,0,0,0,0,NO
35,1,1,1,1.0,1,1,0,0,1,YES
83,111,3,111,37.0,1,83,0,0,37,YES
28,0,0,0,0.0,0,0,0,0,0,NO
6,0,0,0,0.0,0,0,0,0,0,NO
7,0,0,0,0.0,0,0,0,0,0,NO
10,0,0,0,0.0,0,0,0,0,0,YES
33,9,3,8,2.6666666666666665,2,6,1,1,3,YES
92,2,1,2,2.0,1,2,0,0,2,YES
92,2,1,2,2.0,1,2,0,0,2,YES
125,15,1,13,13.0,1,13,2,2,15,YES
24,0,0,0,0.0,0,0,0,0,0,NO
77,76,1,54,54.0,1,54,22,22,76,NO
68,4,1,4,4.0,1,4,0,0,4,NO
24,0,0,0,0.0,0,0,0,0,0,NO
82,15,1,8,8.0,1,8,7,7,15,YES
41,0,0,0,0.0,0,0,0,0,0,NO
10,10,1,10,10.0,1,10,0,0,10,NO
10,0,0,0,0.0,0,0,0,0,0,NO
10,0,0,0,0.0,0,0,0,0,0,NO
10,0,0,0,0.0,0,0,0,0,0,NO
45,0,0,0,0.0,0,0,0,0,0,YES
40,0,0,0,0.0,0,0,0,0,0,NO
38,0,0,0,0.0,0,0,0,0,0,NO
60,22,1,10,10.0,1,10,12,12,22,NO
165,35,1,21,21.0,1,21,14,14,35,YES
46,0,0,0,0.0,0,0,0,0,0,NO
29,0,0,0,0.0,0,0,0,0,0,NO
63,5,1,4,4.0,1,4,1,1,5,NO
186,12,1,2,2.0,1,2,10,10,12,YES
121,13,1,12,12.0,1,12,1,1,13,YES
366,127,4,103,25.75,1,33,24,14,31,YES
202,2,1,1,1.0,1,1,1,1,2,YES
50,5,1,4,4.0,1,4,1,1,5,YES
17,0,0,0,0.0,0,0,0,0,0,NO
34,0,0,0,0.0,0,0,0,0,0,NO
19,3,1,3,3.0,1,3,0,0,3,NO
6,0,0,0,0.0,0,0,0,0,0,NO
93,0,0,0,0.0,0,0,0,0,0,NO
26,0,0,0,0.0,0,0,0,0,0,NO
24,0,0,0,0.0,0,0,0,0,0,NO
61,0,0,0,0.0,0,0,0,0,0,NO
72,4,1,4,4.0,1,4,0,0,4,NO
18,0,0,0,0.0,0,0,0,0,0,NO
18,0,0,0,0.0,0,0,0,0,0,NO
29,6,1,3,3.0,1,3,3,3,6,NO
15,0,0,0,0.0,0,0,0,0,0,NO
18,0,0,0,0.0,0,0,0,0,0,NO
72,0,0,0,0.0,0,0,0,0,0,NO
29,0,0,0,0.0,0,0,0,0,0,NO
